OBJECTID,CSA2010,sclemp10,sclemp11,sclemp12,sclemp13,sclemp14,sclemp15,sclemp16,sclemp17,sclemp18,sclemp19,CSA2020,sclemp20,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,82.1100917431193,79.8907103825137,70.9876543209877,79.0971540726202,77.6574803149606,96.1155378486056,80.7034220532319,89.0120036934441,89.2508143322475,91.84914842,Allendale/Irvington/S. Hilton,88.4907709,63770461.7796021,38770.1655712393
2,Beechfield/Ten Hills/West Hills,76.6698024459078,82.8054298642534,81.1151079136691,76.4069264069264,74.6882793017456,66.5441176470588,71.5920915712799,72.5419664268585,66.8021680216802,65.40697674,Beechfield/Ten Hills/West Hills,91.12676056,47882527.7110596,37524.9505334171
3,Belair-Edison,79.6244131455399,78.75,78.5492227979275,80.2752293577982,84.5986984815618,87.168610816543,93.7275985663082,92.7824267782426,81.9730941704035,79.33261572,Belair-Edison,81.02272727,44950030.4716797,31307.3148434597
4,Brooklyn/Curtis Bay/Hawkins Point,87.3345935727788,87.4074074074074,91.8625678119349,85.3989813242784,87.43961352657,74.2610837438424,76.5347885402456,70.9366391184573,66.3157894736842,59.3442623,Brooklyn/Curtis Bay/Hawkins Point,62.61127596,176077742.748718,150987.703638771
5,Canton,92.0289855072464,91.6666666666667,92.1052631578947,100,100,100,100,100,100,100,Canton,100,15408538.2247314,23338.6119476477
6,Cedonia/Frankford,91.2648497554158,91.8552036199095,90.176322418136,94.023569023569,92.9044465468306,76.5263157894737,90.9957627118644,90.2557856272838,89.2817679558011,90.34907598,Cedonia/Frankford,91.77800617,71541340.3063965,39962.5498347166
7,Cherry Hill,85.5072463768116,85.2819807427785,86.2121212121212,83.7795275590551,85.8050847457627,70.8074534161491,74.7572815533981,80.4222648752399,84.0197693574958,81.92771084,Cherry Hill,72.51114413,29144181.3516235,22305.3020666822
8,Chinquapin Park/Belvedere,81.5489749430524,84.1379310344828,82.3248407643312,95.0323974082073,83.7037037037037,76.1273209549072,86.1892583120205,80.7692307692307,74.9152542372881,95.75289575,Chinquapin Park/Belvedere,100,21022590.1307373,21705.411630344
9,Claremont/Armistead,87.041564792176,83.289817232376,84.4155844155844,81.038374717833,89.2561983471074,59.9562363238512,68.8995215311005,68.3760683760683,76.7195767195767,78.78787879,Orchard Ridge/Armistead,91.85750636,61243774.4211426,40104.415980189
10,Clifton-Berea,84.5295055821372,81.9148936170213,82.4961948249619,74.2971887550201,69.9095022624434,75.3623188405797,78.5330948121646,79.3950850661625,77.4,79.90196078,Clifton-Berea,80.9623431,23285233.9251099,24022.7646207842
11,Cross-Country/Cheswolde,95.6217162872154,98.6964618249534,99.1830065359477,99.1789819376026,96.7407407407407,95.7276368491322,98.0603448275862,98.3713355048859,97.752808988764,100,Cross-Country/Cheswolde,97.731569,38222018.3164673,26788.3018783839
12,Dickeyville/Franklintown,100,100,100,92.0634920634921,89.922480620155,88.5496183206107,83.1460674157303,85.0574712643678,100,78.94736842,Dickeyville/Franklintown,55.55555556,35719112.4142456,31637.8174237991
13,Dorchester/Ashburton,73.0639730639731,74.5679012345679,92.0863309352518,90.5594405594406,95.7446808510638,95.1030927835051,95.9915611814346,98.1818181818181,98.6696230598669,100,Dorchester/Ashburton,100,34118277.1812134,27136.0757115219
14,Downtown/Seton Hill,100,82.8947368421053,82.8877005347594,84.2592592592593,89.0295358649789,91.2621359223301,92.6470588235294,94.2307692307692,96.5384615384615,100,Downtown/Seton Hill,100,20736554.4064941,21565.859394559
15,Edmondson Village,71.841155234657,82.2429906542056,97.4358974358974,97.5877192982456,96.5831435079726,82.3255813953488,87.9795396419437,85.4838709677419,82.5342465753424,83.33333333,Edmondson Village,88.55932203,23563061.0443115,21504.551357829
16,Fells Point,87.2727272727273,89.6039603960396,90.7407407407407,75.3846153846154,86.7768595041322,71.6981132075472,79.4594594594595,85.7142857142857,91.0447761194029,84.72222222,Fells Point,78.125,12620515.7171631,27670.1699158053
17,Forest Park/Walbrook,82.704811443433,79.3172690763052,78.6764705882353,82.0093457943925,78.2016348773841,86.1333333333333,88.4422110552764,90.1041666666666,93.6170212765957,92.46231156,Forest Park/Walbrook,51.45631068,37200535.0296631,36886.8997811279
18,Glen-Fallstaff,94.0068493150685,92.0658682634731,88.7543252595156,82.7027027027027,84.9028400597907,85.679012345679,82.0029027576197,87.6420454545454,89.8591549295774,89.09090909,Glen-Fallstaff,84.9122807,46995477.4781494,48549.0046179292
19,Greater Charles Village/Barclay,100,99.9611650485437,99.2457324335054,98.603909054647,99.165623696287,97.5261655566128,97.1218961625282,98.6198964922369,99.5225464190981,99.48266943,Greater Charles Village/Barclay,99.65191447,27051213.4559937,26454.2692113332
20,Greater Govans,79.2963464140731,85.2777777777778,83.1130690161527,80.7588075880759,78.9173789173789,68.5758513931889,76.056338028169,74.2286751361161,75.2665245202558,86.97674419,Greater Govans,90.4494382,22698495.7178955,22982.125714974
21,Greater Mondawmin,72.8682170542636,76.7575322812052,76.5984654731458,79.523141654979,85.5325914149443,69.7976878612717,74.9654218533887,77.6041666666666,81.675392670157,90.45848823,Greater Mondawmin,93.1880109,33663448.2791138,31136.7318903515
22,Greater Roland Park/Poplar Hill,95.4337899543379,96.5317919075144,98.8023952095808,99.4565217391304,100,100,100,100,100,100,Greater Roland Park/Poplar Hill,100,56688145.1790161,39862.7497953117
23,Greater Rosemont,84.6538782318599,84.8137535816619,90.3290129611166,86.3445378151261,71.883786316776,69.5344129554656,69.3437806072478,69.5238095238095,73.7514518002322,90.76923077,Greater Rosemont,85.84729981,42204384.5406494,32559.0762211492
24,Greenmount East,92.6910299003322,93.3085501858736,91.2713472485768,82.7586206896552,73.3974358974358,67.3780487804878,77.8947368421053,79.0940766550522,82.5581395348837,87.78625954,Oliver/Johnson Square,77.54010695,19072287.8240967,20797.4734578598
25,Hamilton,93.0946291560102,92.6689576174112,94.2708333333333,95.5955955955956,98.3990147783251,97.979797979798,100,98.9840348330914,96.7845659163987,96.2962963,Hamilton,94.81792717,45191100.5593872,27712.1110915054
26,Harbor East/Little Italy,82.9787234042553,37.6623376623377,60.1694915254237,63.5416666666667,74.4855967078189,77.0897832817337,93.3774834437086,92.4764890282131,89.6103896103896,87.11656442,Harbor East/Little Italy,94.67455621,10215859.0836182,18552.4075815937
27,Harford/Echodale,81.5154994259472,80.7228915662651,83.3078101071976,81.4113597246127,88.3910386965376,90.2985074626866,92.7027027027027,90.1606425702811,90.4135338345864,88.81789137,Hamilton Hills,90.81163859,65360039.1698608,40019.1854001996
28,Highlandtown,100,90.5555555555556,87.3333333333333,91.0614525139665,84.090909090909,52.5547445255474,93.4306569343066,100,100,100,Highlandtown,100,11684191.1186523,14976.1238513698
29,Howard Park/West Arlington,89.6640826873385,92.0212765957447,96.5789473684211,90.745501285347,84.7411444141689,86.2790697674419,77.6053215077605,81.5324165029469,91.7061611374407,92.15406562,Howard Park/West Arlington,89.22829582,63262430.0730591,36034.4984469719
30,Inner Harbor/Federal Hill,84.9264705882353,97.4468085106383,96.25,97.0059880239521,100,94.6745562130178,100,100,100,100,Inner Harbor/Federal Hill,100,24995836.2615967,43415.0595478862
31,Lauraville,86.7145421903052,90.8163265306122,94.8919449901768,96.2121212121212,98.1481481481481,89.3569844789357,85.8,79.2656587473002,74.0286298568507,77.04347826,Greater Lauraville,83.95784543,49665744.2354736,34419.676527973
32,Loch Raven,78.7322768974145,85.6378233719893,94.7284345047923,96.0470984020185,99.734278122232,87.5305623471883,91.7534722222222,91.5684496826835,92.3357664233576,88.63892013,Loch Raven,87.59689922,44147812.3265381,29314.3346718286
33,Madison/East End,70.0787401574803,67.4242424242424,73.4192037470726,76.3414634146341,72.3823975720789,73.5973597359736,85.7142857142857,90.8571428571428,90.4761904761904,84.9137931,Madison/East End,78.2208589,8897845.19189453,13120.1587193642
34,Medfield/Hampden/Woodberry/Remington,81.7733990147783,86.7924528301887,86.6666666666667,83.7209302325581,86.2595419847328,72.9458917835671,86.7965367965368,92.4205378973105,97.4358974358974,97.98850575,Hampden/Remington,95.45454545,62441489.2398071,43152.625699222
35,Midtown,99.0590248075278,99.1685563114135,98.8526037069726,98.9719626168224,98.3889528193325,97.2148541114058,100,100,96.039603960396,95.50949914,Midtown,95.44626594,23823949.9294434,25020.0969698082
36,Midway/Coldstream,81.6602316602317,82.7586206896552,80.6930693069307,78.4584980237154,88.6363636363636,64.6271510516252,76.2376237623762,83.2869080779944,85.3717026378896,82.0702403,Midway/Coldstream,87.14011516,17884471.2862549,22767.8274161904
37,Morrell Park/Violetville,63.8968481375358,71.9402985074627,66.0777385159011,63.5514018691589,61.2903225806451,61.3861386138614,57.8947368421053,75.5681818181818,65.1162790697674,61.79245283,Morrell Park/Violetville,68.20512821,67470845.9901123,44412.7451303421
38,Mount Washington/Coldspring,100,100,87.8571428571429,82.3008849557522,83.7209302325581,80.7339449541284,76.0416666666667,92.8571428571428,93.9130434782608,100,Mount Washington/Coldspring,100,56943058.6497192,38539.7661484899
39,North Baltimore/Guilford/Homeland,100,100,100,100,100,100,98.1851179673321,98.6224170319348,98.5294117647058,98.58585859,North Baltimore/Guilford/Homeland,98.01159901,74923987.6937256,42904.2221443544
40,Northwood,95.8565737051793,94.5525291828794,95.0584685024519,95.4233409610984,98.9627534181989,94.934547524189,98.9960959286113,99.5124593716143,98.8127361036157,98.50825786,Northwood,98.53497164,52743271.7706299,38889.8945908863
41,Oldtown/Middle East,79.5977011494253,77.2378516624041,71.4285714285714,71.6024340770791,68.8405797101449,62.7067669172932,81.3953488372093,87.4161073825503,89.5446880269814,89.82387476,Oldtown/Middle East,87.57687577,24585968.2341919,23866.3281788863
42,Orangeville/East Highlandtown,78.4848484848485,75.3424657534247,82.2134387351779,84.1201716738197,87.2852233676975,76.4492753623188,75.5747126436782,83.9160839160839,76.4011799410029,74.27652733,Greektown/Bayview,78.80794702,89894372.2113037,47825.8629266244
43,Patterson Park North & East,84.5905172413793,88.6451612903226,88.2262996941896,96.3235294117647,93.391304347826,69.7231833910035,85.0953206239168,79.2184724689165,80.3163444639718,77.2972973,Patterson Park North & East,80,14507643.2044067,21786.3746601014
44,Penn North/Reservoir Hill,68.2785299806576,77.8963414634146,78.3987915407855,78.0487804878049,81.9334389857369,80.6709265175719,82.7659574468085,76.545842217484,76.4822134387351,75.86912065,Penn North/Reservoir Hill,80.95238095,41059796.6773071,29078.8384985548
45,Pimlico/Arlington/Hilltop,92.7985414767548,92.6829268292683,92.2077922077922,91.4702581369248,91.5022761760242,63.3802816901408,76.9392033542977,80.1169590643274,72.2379603399433,75.33783784,Pimlico/Arlington/Hilltop,86.17021277,30400962.0054932,24725.9340693613
46,Poppleton/The Terraces/Hollins Market,90.4761904761905,87.8378378378378,91.958041958042,88.3720930232558,88.3040935672514,67.1140939597315,92.4137931034483,89.3939393939393,91.1290322580645,90.64327485,Poppleton/The Terraces/Hollins Market,97.56097561,9302012.99926758,12334.0275347411
47,Sandtown-Winchester/Harlem Park,73.5496558505408,79.837067209776,79.6731358529111,79.2315680166147,84.449489216799,81.9742489270386,89.2261001517451,81.5634218289085,84.518167456556,74.22512235,Sandtown-Winchester/Harlem Park,73.1884058,23672092.8682861,20987.1433066354
48,South Baltimore,47.9166666666667,50,37.037037037037,68.0851063829787,77.1929824561403,98.4848484848485,98.1818181818182,98.3050847457627,100,100,South Baltimore,100,46353935.4255981,68440.02582664
49,Southeastern,85.4251012145749,92.8176795580111,93.2098765432099,94.6524064171123,95.9770114942528,86.9822485207101,98.1366459627329,99.2907801418439,100,100,Southeastern,100,111251478.472229,102291.480547698
50,Southern Park Heights,87.3489121676068,85.6807511737089,82.6905829596413,80.2681992337165,71.75,55.7971014492754,67.6731793960924,71.8162839248434,76.83284457478,78.96253602,Southern Park Heights,90.23746702,27876227.5908203,24052.221372193
51,Southwest Baltimore,84.7321428571429,79.0633608815427,88.8354186717998,87.6218323586745,89.8734177215189,75.0297265160523,90.5422446406053,88.875,87.546699875467,83.30733229,Southwest Baltimore,83.90625,37766068.8365479,28355.563581391
52,The Waverlies,96.6057441253264,97.4264705882353,88.4868421052632,81.5686274509804,81.6176470588235,64.2276422764228,81.0240963855422,90.3426791277258,93.9393939393939,96.67896679,The Waverlies,80.21978022,20383750.5437012,18733.826879757
53,Upton/Druid Heights,73.8571428571429,77.6422764227642,76.1457109283196,77.5510204081633,79.0730337078651,73.8304093567251,69.4835680751174,77.3691654879773,75.8181818181818,76.43564356,Upton/Druid Heights,72.44525547,16976622.3380127,19389.3078212169
54,Washington Village/Pigtown,72.0848056537102,82.7450980392157,77.037037037037,93.854748603352,95.9641255605381,72.6086956521739,81.8181818181818,86,90.4564315352697,77.30769231,Pigtown/Carroll Park,86.15384615,39343262.0375977,36962.2600947677
55,Westport/Mount Winans/Lakeland,77.3175542406312,93.3649289099526,97.1128608923885,94.8818897637795,100,100,100,93.7869822485207,94.296577946768,91.82879377,Westport/Mount Winans/Lakeland,83.14176245,45494092.9501953,42573.1244161851
