OBJECTID,CSA2010,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,CSA2020,x2020,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,82.11009174,79.89071038,70.98765432,79.09715407,77.65748031,96.11553785,80.70342205,89.01200369,89.25081433,91.84914842,Allendale/Irvington/S. Hilton,88.4907709,63770461.78,38770.16557
2,Beechfield/Ten Hills/West Hills,76.66980245,82.80542986,81.11510791,76.40692641,74.6882793,66.54411765,71.59209157,72.54196643,66.80216802,65.40697674,Beechfield/Ten Hills/West Hills,91.12676056,47882527.71,37524.95053
3,Belair-Edison,79.62441315,78.75,78.5492228,80.27522936,84.59869848,87.16861082,93.72759857,92.78242678,81.97309417,79.33261572,Belair-Edison,81.02272727,44950030.47,31307.31484
4,Brooklyn/Curtis Bay/Hawkins Point,87.33459357,87.40740741,91.86256781,85.39898132,87.43961353,74.26108374,76.53478854,70.93663912,66.31578947,59.3442623,Brooklyn/Curtis Bay/Hawkins Point,62.61127596,176077742.7,150987.7036
5,Canton,92.02898551,91.66666667,92.10526316,100,100,100,100,100,100,100,Canton,100,15408538.22,23338.61195
6,Cedonia/Frankford,91.26484976,91.85520362,90.17632242,94.02356902,92.90444655,76.52631579,90.99576271,90.25578563,89.28176796,90.34907598,Cedonia/Frankford,91.77800617,71541340.31,39962.54983
7,Cherry Hill,85.50724638,85.28198074,86.21212121,83.77952756,85.80508475,70.80745342,74.75728155,80.42226488,84.01976936,81.92771084,Cherry Hill,72.51114413,29144181.35,22305.30207
8,Chinquapin Park/Belvedere,81.54897494,84.13793103,82.32484076,95.03239741,83.7037037,76.12732095,86.18925831,80.76923077,74.91525424,95.75289575,Chinquapin Park/Belvedere,100,21022590.13,21705.41163
9,Claremont/Armistead,87.04156479,83.28981723,84.41558442,81.03837472,89.25619835,59.95623632,68.89952153,68.37606838,76.71957672,78.78787879,Orchard Ridge/Armistead,91.85750636,61243774.42,40104.41598
10,Clifton-Berea,84.52950558,81.91489362,82.49619482,74.29718876,69.90950226,75.36231884,78.53309481,79.39508507,77.4,79.90196078,Clifton-Berea,80.9623431,23285233.93,24022.76462
11,Cross-Country/Cheswolde,95.62171629,98.69646182,99.18300654,99.17898194,96.74074074,95.72763685,98.06034483,98.3713355,97.75280899,100,Cross-Country/Cheswolde,97.731569,38222018.32,26788.30188
12,Dickeyville/Franklintown,100,100,100,92.06349206,89.92248062,88.54961832,83.14606742,85.05747126,100,78.94736842,Dickeyville/Franklintown,55.55555556,35719112.41,31637.81742
13,Dorchester/Ashburton,73.06397306,74.56790123,92.08633094,90.55944056,95.74468085,95.10309278,95.99156118,98.18181818,98.66962306,100,Dorchester/Ashburton,100,34118277.18,27136.07571
14,Downtown/Seton Hill,100,82.89473684,82.88770053,84.25925926,89.02953586,91.26213592,92.64705882,94.23076923,96.53846154,100,Downtown/Seton Hill,100,20736554.41,21565.85939
15,Edmondson Village,71.84115523,82.24299065,97.43589744,97.5877193,96.58314351,82.3255814,87.97953964,85.48387097,82.53424658,83.33333333,Edmondson Village,88.55932203,23563061.04,21504.55136
16,Fells Point,87.27272727,89.6039604,90.74074074,75.38461538,86.7768595,71.69811321,79.45945946,85.71428571,91.04477612,84.72222222,Fells Point,78.125,12620515.72,27670.16992
17,Forest Park/Walbrook,82.70481144,79.31726908,78.67647059,82.00934579,78.20163488,86.13333333,88.44221106,90.10416667,93.61702128,92.46231156,Forest Park/Walbrook,51.45631068,37200535.03,36886.89978
18,Glen-Fallstaff,94.00684932,92.06586826,88.75432526,82.7027027,84.90284006,85.67901235,82.00290276,87.64204545,89.85915493,89.09090909,Glen-Fallstaff,84.9122807,46995477.48,48549.00462
19,Greater Charles Village/Barclay,100,99.96116505,99.24573243,98.60390905,99.1656237,97.52616556,97.12189616,98.61989649,99.52254642,99.48266943,Greater Charles Village/Barclay,99.65191447,27051213.46,26454.26921
20,Greater Govans,79.29634641,85.27777778,83.11306902,80.75880759,78.91737892,68.57585139,76.05633803,74.22867514,75.26652452,86.97674419,Greater Govans,90.4494382,22698495.72,22982.12571
21,Greater Mondawmin,72.86821705,76.75753228,76.59846547,79.52314165,85.53259141,69.79768786,74.96542185,77.60416667,81.67539267,90.45848823,Greater Mondawmin,93.1880109,33663448.28,31136.73189
22,Greater Roland Park/Poplar Hill,95.43378995,96.53179191,98.80239521,99.45652174,100,100,100,100,100,100,Greater Roland Park/Poplar Hill,100,56688145.18,39862.7498
23,Greater Rosemont,84.65387823,84.81375358,90.32901296,86.34453782,71.88378632,69.53441296,69.34378061,69.52380952,73.7514518,90.76923077,Greater Rosemont,85.84729981,42204384.54,32559.07622
24,Greenmount East,92.6910299,93.30855019,91.27134725,82.75862069,73.3974359,67.37804878,77.89473684,79.09407666,82.55813953,87.78625954,Oliver/Johnson Square,77.54010695,19072287.82,20797.47346
25,Hamilton,93.09462916,92.66895762,94.27083333,95.5955956,98.39901478,97.97979798,100,98.98403483,96.78456592,96.2962963,Hamilton,94.81792717,45191100.56,27712.11109
26,Harbor East/Little Italy,82.9787234,37.66233766,60.16949153,63.54166667,74.48559671,77.08978328,93.37748344,92.47648903,89.61038961,87.11656442,Harbor East/Little Italy,94.67455621,10215859.08,18552.40758
27,Harford/Echodale,81.51549943,80.72289157,83.30781011,81.41135972,88.3910387,90.29850746,92.7027027,90.16064257,90.41353383,88.81789137,Hamilton Hills,90.81163859,65360039.17,40019.1854
28,Highlandtown,100,90.55555556,87.33333333,91.06145251,84.09090909,52.55474453,93.43065693,100,100,100,Highlandtown,100,11684191.12,14976.12385
29,Howard Park/West Arlington,89.66408269,92.0212766,96.57894737,90.74550129,84.74114441,86.27906977,77.60532151,81.5324165,91.70616114,92.15406562,Howard Park/West Arlington,89.22829582,63262430.07,36034.49845
30,Inner Harbor/Federal Hill,84.92647059,97.44680851,96.25,97.00598802,100,94.67455621,100,100,100,100,Inner Harbor/Federal Hill,100,24995836.26,43415.05955
31,Lauraville,86.71454219,90.81632653,94.89194499,96.21212121,98.14814815,89.35698448,85.8,79.26565875,74.02862986,77.04347826,Greater Lauraville,83.95784543,49665744.24,34419.67653
32,Loch Raven,78.7322769,85.63782337,94.7284345,96.0470984,99.73427812,87.53056235,91.75347222,91.56844968,92.33576642,88.63892013,Loch Raven,87.59689922,44147812.33,29314.33467
33,Madison/East End,70.07874016,67.42424242,73.41920375,76.34146341,72.38239757,73.59735974,85.71428571,90.85714286,90.47619048,84.9137931,Madison/East End,78.2208589,8897845.192,13120.15872
34,Medfield/Hampden/Woodberry/Remington,81.77339901,86.79245283,86.66666667,83.72093023,86.25954198,72.94589178,86.7965368,92.4205379,97.43589744,97.98850575,Hampden/Remington,95.45454545,62441489.24,43152.6257
35,Midtown,99.05902481,99.16855631,98.85260371,98.97196262,98.38895282,97.21485411,100,100,96.03960396,95.50949914,Midtown,95.44626594,23823949.93,25020.09697
36,Midway/Coldstream,81.66023166,82.75862069,80.69306931,78.45849802,88.63636364,64.62715105,76.23762376,83.28690808,85.37170264,82.0702403,Midway/Coldstream,87.14011516,17884471.29,22767.82742
37,Morrell Park/Violetville,63.89684814,71.94029851,66.07773852,63.55140187,61.29032258,61.38613861,57.89473684,75.56818182,65.11627907,61.79245283,Morrell Park/Violetville,68.20512821,67470845.99,44412.74513
38,Mount Washington/Coldspring,100,100,87.85714286,82.30088496,83.72093023,80.73394495,76.04166667,92.85714286,93.91304348,100,Mount Washington/Coldspring,100,56943058.65,38539.76615
39,North Baltimore/Guilford/Homeland,100,100,100,100,100,100,98.18511797,98.62241703,98.52941176,98.58585859,North Baltimore/Guilford/Homeland,98.01159901,74923987.69,42904.22214
40,Northwood,95.85657371,94.55252918,95.0584685,95.42334096,98.96275342,94.93454752,98.99609593,99.51245937,98.8127361,98.50825786,Northwood,98.53497164,52743271.77,38889.89459
41,Oldtown/Middle East,79.59770115,77.23785166,71.42857143,71.60243408,68.84057971,62.70676692,81.39534884,87.41610738,89.54468803,89.82387476,Oldtown/Middle East,87.57687577,24585968.23,23866.32818
42,Orangeville/East Highlandtown,78.48484848,75.34246575,82.21343874,84.12017167,87.28522337,76.44927536,75.57471264,83.91608392,76.40117994,74.27652733,Greektown/Bayview,78.80794702,89894372.21,47825.86293
43,Patterson Park North & East,84.59051724,88.64516129,88.22629969,96.32352941,93.39130435,69.72318339,85.09532062,79.21847247,80.31634446,77.2972973,Patterson Park North & East,80,14507643.2,21786.37466
44,Penn North/Reservoir Hill,68.27852998,77.89634146,78.39879154,78.04878049,81.93343899,80.67092652,82.76595745,76.54584222,76.48221344,75.86912065,Penn North/Reservoir Hill,80.95238095,41059796.68,29078.8385
45,Pimlico/Arlington/Hilltop,92.79854148,92.68292683,92.20779221,91.47025814,91.50227618,63.38028169,76.93920335,80.11695906,72.23796034,75.33783784,Pimlico/Arlington/Hilltop,86.17021277,30400962.01,24725.93407
46,Poppleton/The Terraces/Hollins Market,90.47619048,87.83783784,91.95804196,88.37209302,88.30409357,67.11409396,92.4137931,89.39393939,91.12903226,90.64327485,Poppleton/The Terraces/Hollins Market,97.56097561,9302012.999,12334.02753
47,Sandtown-Winchester/Harlem Park,73.54965585,79.83706721,79.67313585,79.23156802,84.44948922,81.97424893,89.22610015,81.56342183,84.51816746,74.22512235,Sandtown-Winchester/Harlem Park,73.1884058,23672092.87,20987.14331
48,South Baltimore,47.91666667,50,37.03703704,68.08510638,77.19298246,98.48484848,98.18181818,98.30508475,100,100,South Baltimore,100,46353935.43,68440.02583
49,Southeastern,85.42510121,92.81767956,93.20987654,94.65240642,95.97701149,86.98224852,98.13664596,99.29078014,100,100,Southeastern,100,111251478.5,102291.4805
50,Southern Park Heights,87.34891217,85.68075117,82.69058296,80.26819923,71.75,55.79710145,67.6731794,71.81628392,76.83284457,78.96253602,Southern Park Heights,90.23746702,27876227.59,24052.22137
51,Southwest Baltimore,84.73214286,79.06336088,88.83541867,87.62183236,89.87341772,75.02972652,90.54224464,88.875,87.54669988,83.30733229,Southwest Baltimore,83.90625,37766068.84,28355.56358
52,The Waverlies,96.60574413,97.42647059,88.48684211,81.56862745,81.61764706,64.22764228,81.02409639,90.34267913,93.93939394,96.67896679,The Waverlies,80.21978022,20383750.54,18733.82688
53,Upton/Druid Heights,73.85714286,77.64227642,76.14571093,77.55102041,79.07303371,73.83040936,69.48356808,77.36916549,75.81818182,76.43564356,Upton/Druid Heights,72.44525547,16976622.34,19389.30782
54,Washington Village/Pigtown,72.08480565,82.74509804,77.03703704,93.8547486,95.96412556,72.60869565,81.81818182,86,90.45643154,77.30769231,Pigtown/Carroll Park,86.15384615,39343262.04,36962.26009
55,Westport/Mount Winans/Lakeland,77.31755424,93.36492891,97.11286089,94.88188976,100,100,100,93.78698225,94.29657795,91.82879377,Westport/Mount Winans/Lakeland,83.14176245,45494092.95,42573.12442