,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Arson,13,6,7,14,5,7,12,11,4,10,6,2
Aggravated Assault,122,125,146,97,122,105,112,110,146,138,121,96
Aggravated Assault (Domestic),25,40,53,48,48,60,60,76,77,58,56,50
Simple Assault,591,538,575,549,565,536,574,439,442,488,510,417
Simple Assault (Domestic),726,762,733,688,594,693,623,615,610,528,529,525
Intimidation,289,277,296,260,230,258,252,193,300,214,253,230
Bribery,1,0,1,0,0,0,0,2,1,0,1,3
Burglary,371,360,318,235,269,235,189,270,189,191,224,181
Counterfeiting/Forgery,59,50,55,39,104,40,56,50,33,20,25,26
Destruction/Damage/Vandalize Property,729,699,739,694,776,943,676,676,688,715,684,501
Drug/Narcotic Violation,905,952,837,762,705,888,815,993,910,527,447,471
Drug Equipment Violation,34,44,29,34,63,249,305,385,411,205,150,149
Embezzlement,31,33,37,26,37,39,39,40,16,11,22,13
Extortion/Blackmail,2,3,1,5,1,3,4,3,6,3,6,5
Fraud,379,370,410,403,423,414,337,340,274,317,334,239
Gambling Offenses,1,3,2,1,0,0,0,0,0,0,0,0
Murder/Nonnegligent Manslaughter,3,1,6,3,4,3,8,2,4,9,8,4
Negligent Manslaughter,1,0,0,0,0,0,0,1,0,0,0,0
Justifiable Homicide,0,1,0,0,0,3,0,0,0,0,0,0
Kidnapping/Abduction,31,22,15,37,31,40,55,65,54,33,33,31
Larceny,"1,359","1,243","1,204","1,173","1,152","1,107","1,019","1,053",863,"1,001","1,088",835
Larceny from Auto,311,317,297,259,297,443,282,377,224,310,390,285
Motor Vehicle Theft,74,86,104,80,113,145,170,166,128,176,304,248
Pornography/Obscene Material,5,18,6,6,25,15,4,11,15,11,1,3
Prostitution,13,10,14,2,7,5,6,0,1,0,0,0
Assisting or Promoting Prostitution,0,0,2,2,1,0,0,0,0,0,2,0
Robbery,46,73,56,47,58,42,41,60,52,49,52,37
Forcible Rape,36,35,27,33,31,24,33,31,34,30,23,28
Forcible Sodomy,5,3,7,6,5,10,3,6,2,4,3,2
Sexual Assault with an Object,0,2,0,2,1,4,0,0,0,0,0,0
Forcible Fondling,100,93,99,119,107,69,51,46,36,48,41,48
Statutory Rape,0,0,2,1,2,1,1,0,0,0,1,0
Stolen Property Offenses,14,6,12,8,13,8,9,2,7,1,7,1
Weapon Law Violation,111,121,135,125,177,170,184,175,236,246,239,234
Bad Check,26,8,16,16,7,24,28,11,11,9,0,0
Curfew/Loitering/Vagrancy Violation,2,0,0,1,0,0,1,0,0,0,0,9
Disorderly Conduct,97,90,85,56,82,86,84,83,55,40,42,40
Driving Under the Influence,318,341,266,235,290,258,187,230,226,223,167,216
Drunkenness,0,1,1,0,0,8,50,93,168,105,5,0
"Family Offense, Nonviolent",325,334,393,379,381,403,318,244,334,288,241,197
Liquor Law Violation,57,82,60,43,48,30,57,56,43,15,21,66
Peeping Tom,8,1,1,2,3,8,2,1,0,0,0,0
Runaway,122,101,107,80,100,122,116,39,0,0,0,0
Trespass of Real Property,291,233,267,275,214,230,189,173,158,152,196,230
All Other Offenses,"1,267","1,163","1,224","1,273","1,051",987,964,"1,134","1,129","1,110","1,069","1,000"